course,title,units,lec_sec,days,begin,end,location
Course,Title,Units,Lec/Sec,Days,Begin,End,Location
Architecture,,,,,,,
48731,Sustainable Design Synthesis Prep,1-18,U,TBA,,,"Pittsburgh, Pennsylvania"
Art,,,,,,,
60590,Internship,1-9,U,TBA,,,"Pittsburgh, Pennsylvania"
Biological Sciences,,,,,,,
03132,Basic Science to Modern Medicine,9.0,U,MTWRF,02:00PM,03:20PM,"Pittsburgh, Pennsylvania"
03133,Neurobiology of Disease,9.0,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
03210,Independent Study,1-12,U,TBA,,,"Pittsburgh, Pennsylvania"
03232,Biochemistry I,9.0,U,MTWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
03445,Undergraduate Research,1-18,U,TBA,,,"Pittsburgh, Pennsylvania"
Biomedical Engineering,,,,,,,
Business Administration,,,,,,,
47995,Graduate Reading & Research,"12,36",U,TBA,,,"Pittsburgh, Pennsylvania"
47998,Tepper PhD Internship,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
70122,Introduction to Accounting,9.0,U,MTWRF,02:00PM,03:20PM,"Pittsburgh, Pennsylvania"
Carnegie Mellon University-Wide Studies,,,,,,,
Chemistry,,,,,,,
09050,Study Abroad,0.0,U,TBA,,,"Pittsburgh, Pennsylvania"
09105,Introduction to Modern Chemistry I,10.0,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
,,,,T,02:00PM,02:50PM,"Pittsburgh, Pennsylvania"
09218,Organic Chemistry II,9.0,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
09435,Independent Study Chemistry,1.0 - 12.0,U,TBA,,,"Pittsburgh, Pennsylvania"
09445,Undergraduate Research,3-18,U,TBA,,,"Pittsburgh, Pennsylvania"
09861,Chemical Research,0-99,U,TBA,,,"Pittsburgh, Pennsylvania"
09871,Doctoral Dissertation,5.0,U,TBA,,,"Pittsburgh, Pennsylvania"
09990,Internship,0-99,U,TBA,,,"Pittsburgh, Pennsylvania"
Civil & Environmental Engineering,,,,,,,
,,,U,TBA,,,"Pittsburgh, Pennsylvania"
Computer Science,,,,,,,
,,,,MTWRF,03:30PM,04:20PM,"Pittsburgh, Pennsylvania"
15112,Fundamentals of Programming and Computer Science,12.0,U,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
,,,,MTWRF,05:30PM,06:20PM,"Pittsburgh, Pennsylvania"
15122,Principles of Imperative Computation,12.0,U,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
,,,,MTWRF,03:30PM,04:50PM,"Pittsburgh, Pennsylvania"
,,,UU,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
,,,,MTWRF,03:30PM,04:50PM,"Pittsburgh, Pennsylvania"
,,,V,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
,,,,MTWRF,03:30PM,04:50PM,"Pittsburgh, Pennsylvania"
Dietrich College Interdisciplinary,,,,,,,
Drama,,,,,,,
54495,Internship,9-36,U,TBA,,,"Pittsburgh, Pennsylvania"
Economics,,,,,,,
Electrical & Computer Engineering,,,,,,,
18990,Reading and Research,0-48,U,TBA,,,"Pittsburgh, Pennsylvania"
Engineering & Public Policy,,,,,,,
19798,Reading and Research: Thesis Research,"5,18,36",U,TBA,,,"Pittsburgh, Pennsylvania"
English,,,,,,,
,Cleopatra's Cultural Afterlife: Representations of Ancient Egypt in Popular Disc,,U,MTWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
76221,Books You Should Have Read By Now:,9.0,,,,,
,19th-Century America in Five Novels?,,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
76247,Shakespeare: Comedies and Romances,9.0,U,MTWRF,03:30PM,04:50PM,"Pittsburgh, Pennsylvania"
76270,Writing for the Professions,9.0,U,MTWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
76707,Independent Study in Professional Writing,3-18,U,TBA,,,"Pittsburgh, Pennsylvania"
History,,,,,,,
79155,Introduction to African American Studies,9.0,U,MTWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
79172,"Race, Caste, Class, and Difference in the United States and India",9.0,U,MTWRF,03:30PM,04:50PM,"Pittsburgh, Pennsylvania"
79491,Independent Study,3-18,U,TBA,,,"Pittsburgh, Pennsylvania"
Human-Computer Interaction,,,,,,,
05684,METALS Capstone II Part II,24.0,U,W,04:00PM,05:50PM,"Pittsburgh, Pennsylvania"
Information Systems Program,,,,,,,
Language Technologies Institute,,,,,,,
11936,PhD Internship,VAR,U,TBA,,,"Pittsburgh, Pennsylvania"
Languages Cultures & Appl Linguistics,,,,,,,
82113,Elementary Arabic 1 Online,9.0,U,TBA,,,"Pittsburgh, Pennsylvania"
82114,Arabic for Global Exchange Online,6.0,U,TBA,,,"Pittsburgh, Pennsylvania"
82119,Arabic Calligraphy Culture & Skills,9.0,U,MTWRF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania"
82133,Elementary Chinese Online I,12.0,U,TBA,,,"Pittsburgh, Pennsylvania"
82134,Elementary Chinese Online II,12.0,U,TBA,,,"Pittsburgh, Pennsylvania"
82139,"Chinese Language, Culture and Society",9.0,U,TBA,,,"Pittsburgh, Pennsylvania"
82143,Elementary Spanish I Online,12.0,U,TBA,,,"Pittsburgh, Pennsylvania"
82144,Elementary Spanish II Online,12.0,U,TBA,,,"Pittsburgh, Pennsylvania"
82183,"AI for Humanities: The Multi-dimensions of World Languages, Arts, and Cultures",9.0,U,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
82272,Intermediate Japanese II,12.0,U,MTWRF,08:00AM,09:20AM,"Pittsburgh, Pennsylvania"
82278,Japanese Film and Literature: The Art of Storytelling,9.0,U,MTWRF,03:30PM,04:50PM,"Pittsburgh, Pennsylvania"
82279,Anime - Visual Interplay between Japan and the World,9.0,U,MTWRF,05:00PM,06:20PM,"Pittsburgh, Pennsylvania"
82283,Language Diversity & Cultural Identity,9.0,U,MTWR,08:00AM,09:50AM,"Pittsburgh, Pennsylvania"
82439,Black Myth: Wukong and the Journey to the West,9.0,U,TBA,,,"Pittsburgh, Pennsylvania"
82789,Guided Research,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
,,,V,TBA,,,"Pittsburgh, Pennsylvania"
Mathematical Sciences,,,,,,,
21120,Differential and Integral Calculus,10.0,U,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
21127,Concepts of Mathematics,12.0,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
21241,Matrices and Linear Transformations,11.0,U,MTWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
21599,Undergraduate Reading and Research,0-99,U,TBA,,,"Pittsburgh, Pennsylvania"
,,,V,TBA,,,"Pittsburgh, Pennsylvania"
Mechanical Engineering,,,,,,,
24392,Mechancial Engineering Project,3-18,U,TBA,,,"Pittsburgh, Pennsylvania"
24491,Department Research Honors,3-24,U,TBA,,,"Pittsburgh, Pennsylvania"
24492,Department Research Honors,3-24,U,TBA,,,"Pittsburgh, Pennsylvania"
24796,Graduate Reading and Research,0-99,R,TBA,,,"Pittsburgh, Pennsylvania"
Music,,,,,,,
,,,,MW,06:30PM,07:50PM,"Pittsburgh, Pennsylvania"
57342,Sound Recording Workshop,6.0,U,MW,06:30PM,07:50PM,"Pittsburgh, Pennsylvania"
57411,Musical Theater on Stage and Screen,9.0,U,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
57617,Independent Study in Electronic and Experimental Music,3-9,U,TBA,,,"Pittsburgh, Pennsylvania"
57857,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57858,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57859,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57878,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57879,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57880,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57939,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57942,Sound Recording Workshop,6.0,U,MW,06:30PM,07:50PM,"Pittsburgh, Pennsylvania"
Neuroscience Institute,,,,,,,
86799,Internship for Graduate Students,3.0,U,TBA,,,"Pittsburgh, Pennsylvania"
Philosophy,,,,,,,
80130,Introduction to Ethics,9.0,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
80205,"Games, Decisions, and Rational Thinking",9.0,U,MTWRF,02:00PM,03:20PM,"Pittsburgh, Pennsylvania"
80212,Arguments and Logical Analysis,9.0,U,MTWRF,03:30PM,04:50PM,"Pittsburgh, Pennsylvania"
80495,Independent Study,"3,6,9,12",U,TBA,,,"Pittsburgh, Pennsylvania"
80993,Dissertation Defense,5-36,U,TBA,,,"Pittsburgh, Pennsylvania"
Physics,,,,,,,
33124,Introduction to Astronomy,9.0,U,MTWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
33141,Physics I for Engineering Students,12.0,U,MTWRF,12:30PM,02:50PM,"Pittsburgh, Pennsylvania"
33142,Physics II for Engineering and Physics Students,12.0,U,MTWRF,12:30PM,02:50PM,"Pittsburgh, Pennsylvania"
33997,Graduate Laboratory,1-36,U,TBA,,,"Pittsburgh, Pennsylvania"
Psychology,,,,,,,
85241,Social Psychology,9.0,U,M,12:30AM,01:50AM,"Pittsburgh, Pennsylvania"
,,,,TWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
85251,Personality,9.0,U,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
85482,Internship in Psychology,3-12,U,TBA,,,"Pittsburgh, Pennsylvania"
85505,Readings In Psychology,3-12,U,TBA,,,"Pittsburgh, Pennsylvania"
85781,Graduate Reading and Research,0-99,U,TBA,,,"Pittsburgh, Pennsylvania"
Social & Decision Sciences,,,,,,,
,,,UU,TBA,,,"Pittsburgh, Pennsylvania"
,,,W,TBA,,,"Pittsburgh, Pennsylvania"
Software & Societal Systems,,,,,,,
17997,Graduate Reading and Research,1-48,U,TBA,,,"Pittsburgh, Pennsylvania"
Statistics and Data Science,,,,,,,
,,,,TR,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
36202,Methods for Statistics & Data Science,9.0,U,MWF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
,,,,TR,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
36226,Introduction to Statistical Inference,9.0,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
36350,Statistical Computing,9.0,U,MTWRF,02:00PM,03:20PM,"Pittsburgh, Pennsylvania"
